temp_c,rh_pct
21.3,77.5
21.4,77.8
21.4,77.8
21.4,77.9
21.3,78.1
21.4,78.0
21.3,78.1
21.4,78.1
21.3,78.2
21.3,77.9
21.3,78.0
21.2,77.3
21.3,77.5
21.3,77.6
21.3,77.4
21.4,77.6
21.3,77.7
21.4,77.5
21.4,77.8
21.3,77.5
21.4,77.5
21.4,77.6
21.4,77.4
21.4,77.4
21.3,77.4
21.4,77.4
21.3,77.2
21.3,77.4
21.3,77.4
21.3,77.5
21.5,77.5
21.3,77.4
21.4,77.5
21.3,77.2
21.4,77.3
21.4,77.5
21.5,77.7
21.4,77.6
21.4,77.6
21.4,77.3
21.4,77.3
21.3,77.3
21.5,77.5
21.4,77.4
21.3,77.4
21.4,77.3
21.4,77.3
21.4,77.3
21.4,77.5
21.5,77.7
21.3,77.7
21.4,77.6
21.4,77.8
21.4,77.5
21.5,77.6
21.4,77.5
21.3,77.4
21.4,77.4
21.5,77.4
21.4,77.4
21.5,77.4
21.5,77.4
21.5,77.4
21.5,77.4
21.4,77.6
21.4,77.3
21.4,77.5
21.5,77.5
21.5,77.3
21.5,77.4
21.4,77.5
21.6,77.4
21.4,77.4
21.4,77.5
21.5,77.5
21.5,77.5
21.5,77.8
21.6,77.7
21.5,77.6
21.5,77.4
21.5,77.3
21.5,77.4
21.4,77.4
21.5,77.6
21.5,77.3
21.4,77.6
21.5,77.5
21.5,77.5
21.4,77.5
21.5,77.5
21.5,77.4
21.5,77.5
21.5,77.5
21.5,77.6
21.5,77.7
21.5,77.4
21.6,77.5
21.5,77.6
21.5,77.3
21.5,77.5
21.5,77.5
21.5,77.4
21.5,77.2
21.5,77.6
21.5,77.5
21.5,77.7
21.5,77.4
21.5,77.3
21.6,77.6
21.6,77.5
21.6,77.5
21.5,77.4
21.6,77.6
21.6,77.4
21.5,77.5
21.5,77.5
21.5,77.5
21.6,77.3
21.6,77.5
21.5,77.3
21.6,77.6
21.5,77.5
21.5,77.5
21.7,77.5
21.7,77.4
21.6,77.4
21.7,77.3
21.6,77.4
21.6,77.6
21.6,77.4
21.6,77.4
21.6,77.5
21.6,77.6
21.6,77.6
21.6,77.5
21.6,77.4
21.7,77.6
21.7,77.6
21.6,77.6
21.6,77.7
21.6,77.9
21.6,77.8
21.7,77.6
21.7,77.7
21.7,77.8
21.6,77.7
21.7,77.5
21.7,77.7
21.7,77.5
21.6,77.6
21.7,77.6
21.7,77.6
21.6,77.8
21.7,77.8
21.6,77.7
21.7,77.8
21.7,77.8
21.7,77.9
21.7,78.0
21.6,78.0
21.7,77.9
21.8,77.9
21.7,78.0
21.7,78.2
21.7,78.1
21.7,77.8
21.7,77.7
21.7,77.8
21.7,78.0
21.7,77.8
21.7,78.0
21.8,78.0
21.7,78.2
21.7,78.2
21.6,78.0
21.8,78.1
21.8,77.8
21.8,77.9
21.7,78.1
21.7,78.2
21.8,77.9
21.7,78.0
21.8,78.4
21.8,78.3
21.8,78.3
21.8,78.5
21.7,78.4
21.8,78.1
21.7,78.5
21.8,78.4
21.8,78.3
21.7,78.5
21.8,78.7
21.8,78.4
21.7,78.5
21.8,78.7
21.8,79.1
21.9,78.6
21.9,78.6
21.8,78.7
21.7,78.7
21.9,78.9
21.8,78.80001
21.9,78.6
21.9,78.80001
21.8,78.9
21.9,78.80001
21.9,78.80001
21.9,79.1
21.9,79.1
21.9,79.0
21.9,79.0
21.9,79.2
21.9,79.0
21.9,79.0
21.9,79.1
22.0,79.2
21.9,79.4
21.9,79.0
21.9,78.9
21.9,78.9
21.9,79.1
21.9,79.1
21.9,79.0
21.9,78.9
22.0,79.1
21.9,79.0
21.9,79.8
21.9,79.4
21.9,79.4
21.9,79.6
21.9,79.5
21.9,79.6
21.9,79.4
21.9,79.4
22.0,79.2
21.9,79.2
21.9,79.1
21.9,79.2
22.0,79.3
21.9,79.1
21.9,79.5
22.0,79.1
21.9,79.2
21.9,79.3
21.9,79.1
21.9,79.1
21.9,79.1
21.9,79.4
22.0,79.2
22.0,79.1
22.0,78.9
22.0,78.9
21.9,79.0
22.0,79.1
22.0,79.0
22.0,79.0
21.9,78.9
22.0,78.80001
22.0,79.0
22.0,78.9
22.0,79.0
22.0,79.2
22.0,79.0
21.9,79.0
21.9,79.0
22.0,79.2
21.9,79.1
21.9,79.1
22.0,78.9
22.0,78.80001
22.0,78.9
22.1,79.0
22.0,78.6
22.0,79.0
22.0,79.1
22.0,79.1
22.0,79.0
22.0,78.9
21.9,79.0
22.0,78.9
22.0,78.9
22.0,79.1
22.0,78.7
22.1,78.80001
22.0,78.6
22.0,78.7
22.1,78.6
22.0,78.7
22.0,78.7
